Phrase	Description	Verse Reference	Point Value
Achan coveted	Achan confessed seeing, coveting, and taking Babylonian cloak and silver.	Joshua 7:21	3
Joshua’s javelin signal	Joshua stretched out javelin; ambush rose and captured Ai.	Joshua 8:18	3
Did not ask counsel	Leaders tasted Gibeonite provisions but failed to inquire of the Lord.	Joshua 9:14	3
Book of Jashar	Ancient record that mentions the sun standing still at Joshua’s prayer.	Joshua 10:13	4
Kings hanged on trees	Five Amorite kings executed and hung on trees until evening.	Joshua 10:26	3
Anakim cut off	Joshua annihilated the giants from the hill country except in Gaza, Gath, Ashdod.	Joshua 11:21-22	3
Othniel won Achsah	Othniel captured Kiriath-sepher and received Caleb’s daughter as wife.	Joshua 15:16-17	4
Levites no land portion	Levites received the Lord Himself as inheritance instead of territory.	Joshua 13:33	3
Altar of Witness	Transjordan tribes named their altar “Witness” to prove unity with Israel.	Joshua 22:34	4
Be strong and courageous	God’s repeated command to Joshua after Moses’ death.	Joshua 1:6-9	1
Rahab’s lie	Rahab told Jericho officials the spies had already left the city.	Joshua 2:4-5	3
Ark went first	Priests carrying the ark led Israel across the Jordan.	Joshua 3:6	2
Memorial stones explained	Stones to remind children how the Jordan was cut off before the ark.	Joshua 4:6-7	3
Captain not for Israel	Commander said he came as captain of the Lord’s host, not taking sides.	Joshua 5:14	4
Young and old destroyed	Jericho utterly destroyed—men, women, young, old, oxen, sheep, donkeys.	Joshua 6:21	3
Israel’s hearts melted	After Ai defeat, the hearts of the people melted and became water.	Joshua 7:5	2
Trouble on Israel	Joshua said Achan troubled Israel, so Israel troubled him with stones.	Joshua 7:25	4
Ebal and Gerizim tribes	Six tribes on Gerizim for blessing, six on Ebal for curse.	Joshua 8:33	3
Adoni-zedek alliance	Jerusalem’s king formed coalition of five Amorite kings against Gibeon.	Joshua 10:1-5	4
Moon in Aijalon	Joshua commanded the moon to stand still over the Valley of Aijalon.	Joshua 10:12	3
Makkedah cave sealed	Joshua ordered large stones rolled against the cave mouth to trap kings.	Joshua 10:18	3
Horam of Gezer defeated	King Horam came to help Lachish and was utterly destroyed.	Joshua 10:33	4
Whole land taken	Joshua took the entire land, just as the Lord told Moses.	Joshua 11:23	3
Caleb at 85	Caleb declared he was as strong at 85 as at 40.	Joshua 14:10	3
Hebron once Kiriath-arba	Hebron formerly called Kiriath-arba after Arba, greatest of Anakim.	Joshua 14:15	4
Daughters inherit land	Zelophehad’s daughters received inheritance among their uncles.	Joshua 17:3-6	4
Joshua cast lots	Joshua cast lots for tribes at Shiloh in the presence of the Lord.	Joshua 18:10	3
Tabernacle at Shiloh	Israel set up the tent of meeting at Shiloh after conquest.	Joshua 18:1	3
Seven tribes still unallotted	Seven tribes had not yet received their inheritance and were delaying.	Joshua 18:2	4
Large land still remains	When Joshua was old, God said much land still needed conquering.	Joshua 13:1	4
Eastern tribes sent home	Joshua blessed and dismissed Reuben, Gad, and half-Manasseh.	Joshua 22:4	3
Misunderstood altar	Western tribes prepared war over the large altar by the Jordan.	Joshua 22:11-12	4
Phinehas confrontation	Phinehas and ten chiefs confronted eastern tribes about the altar.	Joshua 22:13-20	4
Jealous God warning	Joshua warned Israel they could not serve the Lord because He is jealous.	Joshua 24:19	3
We will serve the Lord	Israel repeatedly vowed to serve the Lord and put away foreign gods.	Joshua 24:18	2
Joshua’s second warning	Joshua warned that if they forsook God, He would consume them.	Joshua 24:20	4
You are witnesses	Joshua made the people witness against themselves that they chose the Lord.	Joshua 24:22	3
Foreign gods buried	Joshua commanded Israel to put away foreign gods among them.	Joshua 24:23	4
Covenant renewed at Shechem	Joshua made a covenant and statute for Israel at Shechem.	Joshua 24:25	3
Eleazar also died	Aaron’s son Eleazar died and was buried in hill country of Ephraim.	Joshua 24:33	4
Be very strong	God commanded Joshua to be strong and very courageous to obey the Law.	Joshua 1:7	3
Book of the Law	Joshua told to meditate on the Book of the Law day and night.	Joshua 1:8	3
Rahab’s oath	Spies swore by the Lord to spare Rahab’s family for her kindness.	Joshua 2:12-14	3
Three days at Jordan	Officers commanded people to prepare and follow the ark after three days.	Joshua 3:2	3
Consecrate yourselves	Joshua told people to consecrate because tomorrow the Lord would do wonders.	Joshua 3:5	3
Ark 2000 cubits behind	People told to keep distance from ark since they had never passed this way.	Joshua 3:4	4
Hill country promised Caleb	Moses swore Caleb would inherit the land his foot trod because he followed fully.	Joshua 14:9	3
No one stood before Joshua	The Lord drove out great nations; no one could withstand Joshua.	Joshua 23:9	4
Cling to the Lord	Joshua urged Israel to continue clinging to the Lord as they had done.	Joshua 23:8	4
One man chases thousand	Because the Lord fought for Israel, one man could chase a thousand.	Joshua 23:10	4
Foreign wives danger	Joshua warned intermarriage would become snare, whip, and thorns in eyes.	Joshua 23:12-13	4
Served Lord all Joshua’s days	Israel served the Lord throughout Joshua’s life and the elders who outlived him.	Joshua 24:31	3
Israel soon forsook God	After Joshua and elders died, another generation arose who did not know the Lord.	Joshua 24:31 (context)	4
